Código Cliente,Ano,Trimestre,Mês,Dia,Loja,Produto,SKU,Tamanho Pedido
510,2016,Trim 1,janeiro,1,Campinas,Inspiron 15,HL1007,4
774,2016,Trim 1,janeiro,1,Curitiba,Galaxy J8,HL1014,3
560,2016,Trim 1,janeiro,1,Curitiba,Galaxy S10,HL1003,4
163,2016,Trim 1,janeiro,1,Fortaleza,Galaxy S8,HL1021,5
286,2016,Trim 1,janeiro,1,Fortaleza,Inspiron 15,HL1007,2
157,2016,Trim 1,janeiro,1,Fortaleza,iPhone 7,HL1002,4
796,2016,Trim 1,janeiro,1,Fortaleza,Smart TV 50' 4K,HL1001,2
161,2016,Trim 1,janeiro,1,Goiânia,Galaxy J8,HL1014,3
291,2016,Trim 1,janeiro,1,Goiânia,Moto G7,HL1009,1
630,2016,Trim 1,janeiro,1,Guarulhos,Smart TV LED Full HD 55',HL1008,4
569,2016,Trim 1,janeiro,1,Nova Iguaçu,Câmera Digital Rebel T6,HL1005,4
452,2016,Trim 1,janeiro,1,Nova Iguaçu,iPhone 7,HL1002,3
64,2016,Trim 1,janeiro,1,Porto Alegre,Smart Watch MI,HL1018,5
513,2016,Trim 1,janeiro,1,Recife,Aspire 5,HL1024,2
165,2016,Trim 1,janeiro,1,Recife,Galaxy S8,HL1021,1
144,2016,Trim 1,janeiro,1,Recife,Moto Z,HL1020,4
148,2016,Trim 1,janeiro,1,Rio de Janeiro,Câmera Digital Rebel T6,HL1005,5
248,2016,Trim 1,janeiro,1,Rio de Janeiro,Galaxy S10,HL1003,4
3,2016,Trim 1,janeiro,1,Rio de Janeiro,Galaxy S8,HL1021,3
374,2016,Trim 1,janeiro,1,Rio de Janeiro,iPhone 6S,HL1010,2
804,2016,Trim 1,janeiro,1,Rio de Janeiro,Moto G7,HL1009,4
374,2016,Trim 1,janeiro,1,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,1
481,2016,Trim 1,janeiro,1,Salvador,Aspire 5,HL1024,5
559,2016,Trim 1,janeiro,1,Salvador,Câmera Coolpix L340,HL1013,2
232,2016,Trim 1,janeiro,1,Salvador,Samsung Dual Core,HL1023,5
712,2016,Trim 1,janeiro,1,Salvador,Smart TV LED Full HD 55',HL1008,5
57,2016,Trim 1,janeiro,1,São Paulo,Câmera Coolpix L340,HL1013,4
235,2016,Trim 1,janeiro,1,São Paulo,Inspiron 15,HL1007,3
429,2016,Trim 1,janeiro,1,São Paulo,iPhone 7,HL1002,3
698,2016,Trim 1,janeiro,1,São Paulo,iPhone XS,HL1019,2
235,2016,Trim 1,janeiro,1,São Paulo,Smart TV 50' 4K,HL1001,5
486,2016,Trim 1,janeiro,1,São Paulo,Smart TV LED Full HD 55',HL1008,9
186,2016,Trim 1,janeiro,2,Belo Horizonte,Inspiron 15,HL1007,5
508,2016,Trim 1,janeiro,2,Belo Horizonte,iPhone XS,HL1019,4
635,2016,Trim 1,janeiro,2,Campinas,Câmera Digital Rebel T6,HL1005,3
812,2016,Trim 1,janeiro,2,Curitiba,Câmera Coolpix L340,HL1013,3
95,2016,Trim 1,janeiro,2,Curitiba,Samsung Dual Core,HL1023,3
720,2016,Trim 1,janeiro,2,Curitiba,Smart TV 50' 4K,HL1001,3
612,2016,Trim 1,janeiro,2,Fortaleza,Galaxy S8,HL1021,5
781,2016,Trim 1,janeiro,2,Fortaleza,iPhone XS,HL1019,4
458,2016,Trim 1,janeiro,2,Fortaleza,Moto G7,HL1009,1
614,2016,Trim 1,janeiro,2,Goiânia,Galaxy S8,HL1021,1
688,2016,Trim 1,janeiro,2,Niterói,Smart TV 50' 4K,HL1001,2
459,2016,Trim 1,janeiro,2,Recife,Câmera Digital Rebel T6,HL1005,5
820,2016,Trim 1,janeiro,2,Recife,Smart TV 50' 4K,HL1001,4
213,2016,Trim 1,janeiro,2,Rio de Janeiro,Samsung Dual Core,HL1023,5
589,2016,Trim 1,janeiro,2,Rio de Janeiro,Smart TV LED Full HD 55',HL1008,1
1223,2016,Trim 1,janeiro,2,São Paulo,Câmera Digital Rebel T6,HL1005,10
1291,2016,Trim 1,janeiro,2,São Paulo,iPhone XS,HL1019,7
648,2016,Trim 1,janeiro,2,São Paulo,Smart TV 50' 4K,HL1001,5
786,2016,Trim 1,janeiro,3,Belo Horizonte,Câmera Digital Sony Cyber,HL1015,4
475,2016,Trim 1,janeiro,3,Belo Horizonte,Inspiron 15,HL1007,2
23,2016,Trim 1,janeiro,3,Belo Horizonte,Smart TV 50' 4K,HL1001,4
786,2016,Trim 1,janeiro,3,Belo Horizonte,Smart TV LED Full HD 55',HL1008,4
329,2016,Trim 1,janeiro,3,Campinas,Câmera Coolpix L340,HL1013,3
139,2016,Trim 1,janeiro,3,Campinas,Galaxy S8,HL1021,4
529,2016,Trim 1,janeiro,3,Campinas,Inspiron 15,HL1007,4
139,2016,Trim 1,janeiro,3,Campinas,Smart TV 50' 4K,HL1001,5
309,2016,Trim 1,janeiro,3,Campinas,Smart Watch MI,HL1018,1
292,2016,Trim 1,janeiro,3,Fortaleza,Câmera Coolpix L340,HL1013,4
171,2016,Trim 1,janeiro,3,Fortaleza,Câmera Digital Sony Cyber,HL1015,5
687,2016,Trim 1,janeiro,3,Fortaleza,iPhone XS,HL1019,4
621,2016,Trim 1,janeiro,3,Fortaleza,Smart TV 50' 4K,HL1001,3
205,2016,Trim 1,janeiro,3,Guarulhos,Câmera Coolpix L340,HL1013,2
822,2016,Trim 1,janeiro,3,Recife,Smart TV 50' 4K,HL1001,3
572,2016,Trim 1,janeiro,3,Rio de Janeiro,Galaxy J8,HL1014,4
76,2016,Trim 1,janeiro,3,Rio de Janeiro,Moto G7,HL1009,1
125,2016,Trim 1,janeiro,3,Rio de Janeiro,Smart TV 50' 4K,HL1001,1
374,2016,Trim 1,janeiro,3,Rio de Janeiro,Smart TV 75' 4K,HL1017,5
54,2016,Trim 1,janeiro,3,Salvador,Smart TV 50' 4K,HL1001,1
534,2016,Trim 1,janeiro,3,Salvador,Smart Watch MI,HL1018,2
437,2016,Trim 1,janeiro,3,Salvador,TV LED 32',HL1006,4
737,2016,Trim 1,janeiro,3,São Paulo,Câmera Coolpix L340,HL1013,1
797,2016,Trim 1,janeiro,3,São Paulo,Inspiron 15,HL1007,2
316,2016,Trim 1,janeiro,3,São Paulo,iPhone 6S,HL1010,5
1247,2016,Trim 1,janeiro,3,São Paulo,Moto G7,HL1009,6
69,2016,Trim 1,janeiro,3,São Paulo,Smart TV 50' 4K,HL1001,1
581,2016,Trim 1,janeiro,4,Belo Horizonte,Smart TV 50' 4K,HL1001,3
110,2016,Trim 1,janeiro,4,Campinas,Inspiron 15,HL1007,5
199,2016,Trim 1,janeiro,4,Campinas,Smart TV 75' 4K,HL1017,5
511,2016,Trim 1,janeiro,4,Campinas,TV LED 32',HL1006,1
171,2016,Trim 1,janeiro,4,Fortaleza,Câmera Digital Sony Cyber,HL1015,1
503,2016,Trim 1,janeiro,4,Fortaleza,Inspiron 15,HL1007,1
562,2016,Trim 1,janeiro,4,Goiânia,Smart TV LED Full HD 55',HL1008,4
356,2016,Trim 1,janeiro,4,Guarulhos,Galaxy S8,HL1021,1
126,2016,Trim 1,janeiro,4,Guarulhos,Moto Z,HL1020,5
488,2016,Trim 1,janeiro,4,Niterói,Smart TV LED Full HD 55',HL1008,1
517,2016,Trim 1,janeiro,4,Nova Iguaçu,Câmera Digital Rebel T6,HL1005,5
